nama,jurusan,nama_instansi,divisi,tanggal_mulai,tanggal_akhir,status_magang,jenjang,ipk/nilai,mata_kuliah/pelajaran,skill_teknis,sertifikasi,pengalaman_magang,pengalaman_organisasi,proyek_dikerjakan
Citra Rahimah,Teknik Informatika,Universitas Langlangbuana,APTIKA,4/26/2020,6/26/2020,Selesai,D3,"2,96","Struktur Data, Algoritma, Kecerdasan Buatan, Pemrograman Web, Basis Data","Adobe, UI/UX",Microsoft Office Specialist,Magang di Bank BJB,OSIS,Aplikasi Mobile
Artanto Maryati,Sistem Informasi,Politeknik Piksi Ganesha Bandung,APTIKA,4/14/2020,6/26/2020,Selesai,S1,"3,26","Analisis Sistem, Pemrograman, Rekayasa Perangkat Lunak, Jaringan, Manajemen Proyek","AutoCAD, Excel",Adobe Certified,Magang di Bank BJB,BEM,Penelitian Sosial
Rahmat Santoso,Psikologi,Institut Teknologi Nasional Bandung,APTIKA,4/11/2020,6/14/2020,Selesai,S1,"3,06","Psikologi Pendidikan, Psikologi Sosial, Teori Kepribadian, Psikologi Klinis, Konseling","AutoCAD, Excel",Adobe Certified,Magang di Telkom,-,Website Kampus
Fitriani Kuswandari,Teknik Sipil,Universitas Langlangbuana,APTIKA,4/12/2020,5/12/2020,Selesai,S1,"3,17","Hidrologi, Manajemen Konstruksi, Mekanika Tanah, Struktur Beton, Statika","AutoCAD, Excel",Cisco CCNA,-,Himpunan Mahasiswa,Penelitian Sosial
Michelle Prasasta,Ilmu Komunikasi,Universitas Bale Bandung,SEKRE,4/20/2020,5/14/2020,Selesai,S1,"3,49","Jurnalistik, Public Speaking, Fotografi, Komunikasi Massa, Manajemen Media","Adobe, UI/UX",-,-,OSIS,Video Animasi
Jumari Mardhiyah,IPA,SMAN 1 Ciparay,SEKRE,4/12/2020,6/17/2020,Selesai,SMA,87,"Fisika, Kimia, Informatika, Bahasa Inggris, Matematika","Python, SQL",Adobe Certified,Magang di Diskominfo,-,Aplikasi Mobile
Ganjaran Utama,Ilmu Komunikasi,Institut Teknologi Nasional Bandung,SEKRE,4/5/2020,6/20/2020,Selesai,S1,"2,78","Sosiologi Komunikasi, Fotografi, Komunikasi Massa, Jurnalistik, Manajemen Media","Adobe, UI/UX",Adobe Certified,Magang di Telkom,-,Penelitian Sosial
Victoria Wibowo,Teknik Sipil,Politeknik Piksi Ganesha Bandung,SEKRE,4/4/2020,5/20/2020,Selesai,S1,"3,54","Hidrologi, Mekanika Tanah, Statika, Struktur Beton, Gambar Teknik","PHP, Java",Microsoft Office Specialist,-,Himpunan Mahasiswa,Aplikasi Mobile
Sabrina Latupono,Sistem Informasi,Universitas Bale Bandung,SEKRE,4/4/2020,5/20/2020,Selesai,S1,"3,45","Rekayasa Perangkat Lunak, Pemrograman, Analisis Sistem, Jaringan, Basis Data","Adobe, UI/UX",-,Magang di Diskominfo,BEM,Video Animasi
Chelsea Utami,RPL,SMKN 2 Baleendah,SEKRE,4/5/2020,6/12/2020,Selesai,SMK,85,"Sistem Operasi, PBO, Pemrograman, Jaringan Komputer, Desain UI/UX","Adobe, UI/UX",-,Magang di Bank BJB,BEM,Aplikasi Mobile
Labuh Utami,IPS,SMAN 1 Ciparay,SEKRE,4/17/2020,5/13/2020,Selesai,SMA,76,"Sejarah, Geografi, Ekonomi, Bahasa Indonesia, Sosiologi","Excel, UI/UX",-,Magang di Bank BJB,Himpunan Mahasiswa,Penelitian Sosial
Ani Hidayat,Psikologi,Universitas Langlangbuana,SEKRE,4/7/2020,5/18/2020,Selesai,D3,"3,03","Psikologi Klinis, Psikologi Sosial, Teori Kepribadian, Psikologi Pendidikan, Metodologi Psikologi","Python, SQL",-,Magang di Bank BJB,BEM,Video Animasi
Unggul Santoso,Teknik Informatika,Universitas Langlangbuana,SEKRE,4/25/2020,5/14/2020,Selesai,D3,"3,55","Kecerdasan Buatan, Struktur Data, Algoritma, Pemrograman Web, Basis Data","Adobe, UI/UX",Cisco CCNA,Magang di Diskominfo,OSIS,Penelitian Sosial
Yusuf Saptono,IPA,SMKN 2 Baleendah,SEKRE,4/25/2020,5/14/2020,Selesai,SMA,77,"Informatika, Kimia, Bahasa Inggris, Biologi, Fisika","Excel, UI/UX",Microsoft Office Specialist,Magang di Diskominfo,-,-
Margana Halim,Teknik Sipil,Institut Teknologi Nasional Bandung,STATISTIK,4/12/2020,5/22/2020,Selesai,D3,"2,8","Mekanika Tanah, Gambar Teknik, Statika, Manajemen Konstruksi, Hidrologi","AutoCAD, Excel",Microsoft Office Specialist,Magang di Diskominfo,-,-
Calista Pradipta,Multimedia,SMAN 1 Majalaya,STATISTIK,4/26/2020,6/26/2020,Selesai,SMK,80,"Animasi, Editing Video, Fotografi, Desain 3D, Desain Grafis","Python, SQL",-,Magang di Diskominfo,Himpunan Mahasiswa,Website Kampus
Eli Maryati,Sistem Informasi,Politeknik Piksi Ganesha Bandung,STATISTIK,4/14/2020,6/26/2020,Selesai,S1,"3,76","Basis Data, Manajemen Proyek, Pemrograman, Analisis Sistem, Rekayasa Perangkat Lunak","Adobe, UI/UX",-,Magang di Bank BJB,OSIS,Website Kampus
Pangestu Mayasari,Teknik Sipil,Institut Teknologi Nasional Bandung,STATISTIK,4/11/2020,6/14/2020,Selesai,S1,"3,4","Gambar Teknik, Hidrologi, Mekanika Tanah, Struktur Beton, Manajemen Konstruksi","PHP, Java",Adobe Certified,Magang di Telkom,OSIS,Video Animasi
Purwa Habibi,IPS,SMKN 2 Baleendah,STATISTIK,4/12/2020,5/12/2020,Selesai,SMA,77,"PPKn, Sosiologi, Ekonomi, Bahasa Indonesia, Geografi","AutoCAD, Excel",Cisco CCNA,Magang di Telkom,Himpunan Mahasiswa,Aplikasi Mobile
Cayadi Wulandari,Psikologi,Universitas Komputer Indonesia,STATISTIK,4/20/2020,5/14/2020,Selesai,D3,"3,01","Konseling, Teori Kepribadian, Metodologi Psikologi, Psikologi Sosial, Psikologi Pendidikan","Excel, UI/UX",-,Magang di Bank BJB,-,-
Bakda Nababan,IPA,SMKN 2 Baleendah,STATISTIK,4/12/2020,6/17/2020,Selesai,SMA,76,"Bahasa Inggris, Biologi, Matematika, Fisika, Kimia","Excel, UI/UX",Cisco CCNA,Magang di Diskominfo,Himpunan Mahasiswa,Aplikasi Mobile
Salman Mustofa,IPS,SMKN 2 Baleendah,STATISTIK,4/5/2020,6/20/2020,Selesai,SMA,75,"PPKn, Sejarah, Geografi, Sosiologi, Bahasa Indonesia","Python, SQL",Microsoft Office Specialist,Magang di Diskominfo,BEM,Website Kampus
Mutia Widiastuti,Multimedia,SMKN 1 Katapang,STATISTIK,4/12/2020,6/17/2020,Selesai,SMK,85,"Desain 3D, UI/UX, Desain Grafis, Animasi, Fotografi","Python, SQL",-,Magang di Telkom,-,Aplikasi Mobile
Kamila Budiman,IPA,SMKN 1 Katapang,STATISTIK,4/5/2020,6/20/2020,Selesai,SMA,89,"Biologi, Matematika, Bahasa Inggris, Kimia, Fisika","Adobe, UI/UX",-,-,OSIS,Video Animasi
Jasmin Waskita,Sistem Informasi,Institut Teknologi Nasional Bandung,TIK,7/5/2020,9/20/2020,Selesai,S1,"3,02","Rekayasa Perangkat Lunak, Jaringan, Basis Data, Analisis Sistem, Manajemen Proyek","Python, SQL",-,-,Himpunan Mahasiswa,Website Kampus
Prayogo Maryati,Psikologi,Universitas Komputer Indonesia,TIK,7/25/2020,9/14/2020,Selesai,S1,"3,04","Psikologi Klinis, Konseling, Metodologi Psikologi, Psikologi Sosial, Teori Kepribadian","PHP, Java",-,Magang di Diskominfo,OSIS,Penelitian Sosial
Banara Najmudin,Ilmu Komunikasi,Politeknik Piksi Ganesha Bandung,TIK,7/25/2020,9/14/2020,Selesai,S1,"3,53","Public Speaking, Fotografi, Manajemen Media, Jurnalistik, Sosiologi Komunikasi","Python, SQL",-,Magang di Diskominfo,OSIS,-
Aswani Prakasa,Psikologi,Universitas Komputer Indonesia,TIK,8/12/2020,9/22/2020,Selesai,S1,"3,42","Psikologi Klinis, Metodologi Psikologi, Teori Kepribadian, Psikologi Sosial, Psikologi Pendidikan","Adobe, UI/UX",-,Magang di Bank BJB,OSIS,Video Animasi
Ganjaran Dongoran,IPA,SMKN 1 Katapang,TIK,8/26/2020,9/26/2020,Selesai,SMA,85,"Matematika, Kimia, Bahasa Inggris, Informatika, Fisika","Python, SQL",-,Magang di Telkom,-,Penelitian Sosial
Opan Yuliarti,IPS,SMAN 1 Banjaran,TIK,8/14/2020,9/26/2020,Selesai,SMA,93,"Geografi, PPKn, Sosiologi, Sejarah, Bahasa Indonesia","Excel, UI/UX",Cisco CCNA,-,-,Penelitian Sosial
Oni Wulandari,Multimedia,SMAN 1 Banjaran,TIK,7/11/2020,9/14/2020,Selesai,SMK,77,"Desain Grafis, Editing Video, Fotografi, UI/UX, Desain 3D","Excel, UI/UX",Cisco CCNA,Magang di Diskominfo,-,Penelitian Sosial
Heryanto Mulyani,Teknik Informatika,Universitas Langlangbuana,TIK,7/12/2020,9/12/2020,Selesai,S1,"3,29","Kecerdasan Buatan, Jaringan Komputer, Struktur Data, Algoritma, Basis Data","Python, SQL",Adobe Certified,-,OSIS,Aplikasi Mobile
Syahrini Simanjuntak,RPL,SMKN 2 Baleendah,TIK,7/20/2020,9/14/2020,Selesai,SMK,76,"Desain UI/UX, Pemrograman, Basis Data, Sistem Operasi, PBO","Adobe, UI/UX",-,Magang di Bank BJB,BEM,-
Paris Saefullah,IPS,SMKN 2 Baleendah,TIK,7/12/2020,9/17/2020,Selesai,SMA,87,"Geografi, Sejarah, Bahasa Indonesia, Ekonomi, Sosiologi","Python, SQL",Adobe Certified,-,OSIS,Website Kampus
Darmaji Novitasari,RPL,SMKN 1 Katapang,IKP,7/5/2020,9/20/2020,Selesai,SMK,94,"Jaringan Komputer, Desain UI/UX, Basis Data, Pemrograman, Sistem Operasi","PHP, Java",Microsoft Office Specialist,Magang di Bank BJB,BEM,Aplikasi Mobile
Rama Dabukke,IPS,SMAN 1 Banjaran,IKP,7/5/2020,9/20/2020,Selesai,SMA,75,"Geografi, Sejarah, PPKn, Ekonomi, Bahasa Indonesia","PHP, Java",Adobe Certified,Magang di Bank BJB,-,Aplikasi Mobile
Zamira Budiman,RPL,SMAN 1 Banjaran,IKP,7/25/2020,9/14/2020,Selesai,SMK,90,"PBO, Sistem Operasi, Desain UI/UX, Pemrograman, Basis Data","Excel, UI/UX",-,Magang di Diskominfo,OSIS,Website Kampus
Aisyah Winarno,IPA,SMAN 1 Ciparay,IKP,7/25/2020,9/14/2020,Selesai,SMA,94,"Kimia, Biologi, Informatika, Fisika, Bahasa Inggris","Adobe, UI/UX",-,Magang di Bank BJB,BEM,-
Hana Mayasari,Ilmu Komunikasi,Universitas Langlangbuana,IKP,8/12/2020,9/22/2020,Selesai,S1,"3,81","Sosiologi Komunikasi, Manajemen Media, Komunikasi Massa, Public Speaking, Fotografi","Adobe, UI/UX",Adobe Certified,Magang di Bank BJB,BEM,Aplikasi Mobile
Ciaobella Wacana,Teknik Informatika,Politeknik Piksi Ganesha Bandung,IKP,8/26/2020,9/26/2020,Selesai,S1,"3,02","Struktur Data, Pemrograman Web, Basis Data, Jaringan Komputer, Kecerdasan Buatan","Excel, UI/UX",-,Magang di Bank BJB,BEM,Website Kampus
Ikhsan Anggriawan,Sistem Informasi,Universitas Komputer Indonesia,IKP,8/14/2020,9/26/2020,Selesai,S1,"3,32","Analisis Sistem, Manajemen Proyek, Pemrograman, Jaringan, Basis Data","Excel, UI/UX",-,Magang di Bank BJB,OSIS,Video Animasi
Karja Mandasari,Teknik Sipil,Institut Teknologi Nasional Bandung,IKP,7/11/2020,9/14/2020,Selesai,S1,"2,76","Manajemen Konstruksi, Mekanika Tanah, Struktur Beton, Statika, Gambar Teknik","Excel, UI/UX",-,Magang di Bank BJB,BEM,Video Animasi
Latif Padmasari,IPA,SMKN 2 Baleendah,IKP,7/12/2020,9/12/2020,Selesai,SMA,75,"Biologi, Bahasa Inggris, Fisika, Informatika, Matematika","AutoCAD, Excel",Cisco CCNA,-,BEM,Aplikasi Mobile
Heru Lailasari,Sistem Informasi,Universitas Komputer Indonesia,IKP,7/20/2020,9/14/2020,Selesai,S1,"3,71","Jaringan, Manajemen Proyek, Pemrograman, Rekayasa Perangkat Lunak, Basis Data","Adobe, UI/UX",Microsoft Office Specialist,Magang di Diskominfo,BEM,Website Kampus
Vicky Wijaya,IPS,SMKN 1 Katapang,PERSANDIAN,7/12/2020,9/17/2020,Selesai,SMA,83,"PPKn, Sejarah, Ekonomi, Sosiologi, Bahasa Indonesia","Python, SQL",-,-,BEM,-
Talia Irawan,Teknik Informatika,Universitas Bale Bandung,PERSANDIAN,7/5/2020,9/20/2020,Selesai,S1,"2,91","Kecerdasan Buatan, Struktur Data, Algoritma, Jaringan Komputer, Pemrograman Web","Adobe, UI/UX",Microsoft Office Specialist,Magang di Bank BJB,OSIS,Video Animasi
Gasti Prasetya,Sistem Informasi,Universitas Bale Bandung,PERSANDIAN,7/5/2020,9/20/2020,Selesai,S1,"3,49","Manajemen Proyek, Basis Data, Rekayasa Perangkat Lunak, Pemrograman, Jaringan","Excel, UI/UX",Microsoft Office Specialist,Magang di Bank BJB,BEM,Aplikasi Mobile
Farhunnisa Sitorus,IPS,SMKN 2 Baleendah,PERSANDIAN,7/25/2020,9/14/2020,Selesai,SMA,87,"Ekonomi, Sejarah, Sosiologi, Geografi, Bahasa Indonesia","PHP, Java",Microsoft Office Specialist,-,OSIS,Website Kampus
Martana Wasita,IPA,SMAN 1 Banjaran,PERSANDIAN,7/25/2020,9/14/2020,Selesai,SMA,82,"Biologi, Informatika, Bahasa Inggris, Fisika, Kimia","Excel, UI/UX",Adobe Certified,Magang di Bank BJB,-,Video Animasi
Jinawi Damanik,IPS,SMKN 1 Katapang,PERSANDIAN,8/12/2020,9/22/2020,Selesai,SMA,97,"Sosiologi, Sejarah, Ekonomi, PPKn, Geografi","Python, SQL",-,-,-,Video Animasi
Bakiman Latupono,IPS,SMAN 1 Banjaran,PERSANDIAN,8/26/2020,9/26/2020,Selesai,SMA,84,"PPKn, Sejarah, Geografi, Bahasa Indonesia, Ekonomi","Adobe, UI/UX",Cisco CCNA,-,OSIS,Aplikasi Mobile
Jaswadi Tampubolon,Teknik Informatika,Universitas Komputer Indonesia,PERSANDIAN,8/14/2020,9/26/2020,Selesai,S1,"3,5","Jaringan Komputer, Algoritma, Basis Data, Kecerdasan Buatan, Struktur Data","AutoCAD, Excel",Cisco CCNA,-,BEM,Aplikasi Mobile
Damar Haryanto,IPS,SMAN 1 Ciparay,PERSANDIAN,7/11/2020,9/14/2020,Selesai,SMA,92,"Sosiologi, Sejarah, Bahasa Indonesia, Ekonomi, Geografi","AutoCAD, Excel",Microsoft Office Specialist,Magang di Bank BJB,Himpunan Mahasiswa,Aplikasi Mobile
Galih Jailani,Sistem Informasi,Institut Teknologi Nasional Bandung,PERSANDIAN,7/12/2020,9/12/2020,Selesai,S1,"3,67","Analisis Sistem, Pemrograman, Basis Data, Jaringan, Rekayasa Perangkat Lunak","Excel, UI/UX",-,Magang di Bank BJB,-,Website Kampus
Sari Wibisono,Ilmu Komunikasi,Universitas Komputer Indonesia,APTIKA,7/20/2020,9/14/2020,Selesai,S1,"3,46","Public Speaking, Komunikasi Massa, Fotografi, Jurnalistik, Manajemen Media","AutoCAD, Excel",Cisco CCNA,Magang di Bank BJB,-,-
Dalima Anggriawan,IPS,SMAN 1 Ciparay,APTIKA,7/12/2020,9/17/2020,Selesai,SMA,85,"PPKn, Bahasa Indonesia, Sosiologi, Sejarah, Ekonomi","AutoCAD, Excel",Adobe Certified,Magang di Telkom,-,Website Kampus
Salman Sinaga,Teknik Sipil,Institut Teknologi Nasional Bandung,APTIKA,7/5/2020,9/20/2020,Selesai,S1,"3,47","Hidrologi, Statika, Struktur Beton, Mekanika Tanah, Gambar Teknik","Adobe, UI/UX",Microsoft Office Specialist,Magang di Diskominfo,BEM,Penelitian Sosial
Ikin Siregar,IPA,SMAN 1 Banjaran,APTIKA,7/5/2020,9/20/2020,Selesai,SMA,83,"Fisika, Bahasa Inggris, Matematika, Informatika, Biologi","Python, SQL",Adobe Certified,Magang di Diskominfo,Himpunan Mahasiswa,Video Animasi
"Kania Prasasta,",Teknik Informatika,Universitas Komputer Indonesia,APTIKA,7/25/2020,9/14/2020,Selesai,S1,"2,93","Kecerdasan Buatan, Struktur Data, Jaringan Komputer, Pemrograman Web, Algoritma","PHP, Java",Microsoft Office Specialist,Magang di Diskominfo,OSIS,Penelitian Sosial
Kamila Padmasari,RPL,SMKN 1 Katapang,APTIKA,7/25/2020,9/14/2020,Selesai,SMK,84,"Desain UI/UX, Basis Data, Sistem Operasi, Jaringan Komputer, PBO","Adobe, UI/UX",-,Magang di Diskominfo,-,Video Animasi
Gilda Suryono,IPA,SMKN 1 Katapang,APTIKA,8/12/2020,9/22/2020,Selesai,SMA,92,"Matematika, Bahasa Inggris, Informatika, Kimia, Fisika","Adobe, UI/UX",-,Magang di Diskominfo,Himpunan Mahasiswa,Video Animasi
Jinawi Natsir,Sistem Informasi,Universitas Bale Bandung,APTIKA,8/26/2020,9/26/2020,Selesai,S1,"2,99","Jaringan, Manajemen Proyek, Pemrograman, Basis Data, Rekayasa Perangkat Lunak","AutoCAD, Excel",Cisco CCNA,-,BEM,-
Bagiya Mangunsong,Ilmu Komunikasi,Universitas Komputer Indonesia,APTIKA,8/14/2020,9/26/2020,Selesai,S1,"3,32","Public Speaking, Fotografi, Komunikasi Massa, Sosiologi Komunikasi, Manajemen Media","PHP, Java",Adobe Certified,Magang di Diskominfo,Himpunan Mahasiswa,-
Panji Nashiruddin,Multimedia,SMAN 1 Banjaran,APTIKA,7/11/2020,9/14/2020,Selesai,SMK,78,"Animasi, UI/UX, Fotografi, Desain Grafis, Desain 3D","PHP, Java",Microsoft Office Specialist,-,BEM,Penelitian Sosial
Padmi Purwanti,RPL,SMAN 1 Ciparay,SEKRE,7/12/2020,9/12/2020,Selesai,SMK,76,"Basis Data, Desain UI/UX, Pemrograman, Jaringan Komputer, Sistem Operasi","AutoCAD, Excel",Adobe Certified,Magang di Diskominfo,-,Aplikasi Mobile
Malik Sirait,Psikologi,Universitas Bale Bandung,SEKRE,7/20/2020,9/14/2020,Selesai,S1,"3,51","Konseling, Teori Kepribadian, Psikologi Pendidikan, Psikologi Klinis, Psikologi Sosial","Excel, UI/UX",Adobe Certified,-,OSIS,Video Animasi
Cut Lintang Suryono,Sistem Informasi,Universitas Langlangbuana,SEKRE,7/12/2020,9/17/2020,Selesai,S1,"3,12","Jaringan, Rekayasa Perangkat Lunak, Analisis Sistem, Manajemen Proyek, Pemrograman","Adobe, UI/UX",Microsoft Office Specialist,Magang di Telkom,Himpunan Mahasiswa,Aplikasi Mobile
Gilang Wasita,IPS,SMAN 1 Banjaran,SEKRE,7/5/2020,9/20/2020,Selesai,SMA,96,"Sejarah, PPKn, Sosiologi, Bahasa Indonesia, Ekonomi","Excel, UI/UX",-,Magang di Telkom,BEM,-
Opung Januar,Teknik Sipil,Universitas Bale Bandung,SEKRE,7/5/2020,9/20/2020,Selesai,S1,"2,87","Manajemen Konstruksi, Struktur Beton, Statika, Gambar Teknik, Hidrologi","Adobe, UI/UX",-,Magang di Telkom,Himpunan Mahasiswa,Aplikasi Mobile
Silvia Riyanti,Multimedia,SMAN 1 Banjaran,SEKRE,7/25/2020,9/14/2020,Selesai,SMK,83,"Editing Video, Fotografi, Desain 3D, Desain Grafis, Animasi","PHP, Java",-,Magang di Bank BJB,OSIS,-
Mursita Salahudin,Teknik Sipil,Universitas Komputer Indonesia,SEKRE,7/25/2020,9/14/2020,Selesai,S1,"3,69","Manajemen Konstruksi, Mekanika Tanah, Struktur Beton, Statika, Hidrologi","Adobe, UI/UX",Cisco CCNA,Magang di Diskominfo,Himpunan Mahasiswa,Website Kampus
Anggabaya Maheswara,IPA,SMAN 1 Ciparay,SEKRE,8/12/2020,9/22/2020,Selesai,SMA,80,"Kimia, Matematika, Biologi, Bahasa Inggris, Informatika","Excel, UI/UX",-,Magang di Bank BJB,OSIS,-
Jarwa Rajata,Psikologi,Universitas Komputer Indonesia,SEKRE,8/26/2020,9/26/2020,Selesai,S1,"3,58","Teori Kepribadian, Metodologi Psikologi, Psikologi Klinis, Psikologi Sosial, Konseling","AutoCAD, Excel",-,Magang di Telkom,Himpunan Mahasiswa,Website Kampus
Hardana Nugroho,Teknik Sipil,Universitas Komputer Indonesia,SEKRE,8/14/2020,9/26/2020,Selesai,S1,"3,19","Gambar Teknik, Statika, Mekanika Tanah, Hidrologi, Manajemen Konstruksi","Excel, UI/UX",Adobe Certified,-,BEM,Website Kampus
Wahyu Saefullah,RPL,SMAN 1 Banjaran,STATISTIK,7/11/2020,9/14/2020,Selesai,SMK,84,"PBO, Jaringan Komputer, Desain UI/UX, Sistem Operasi, Basis Data","Excel, UI/UX",Microsoft Office Specialist,-,BEM,Website Kampus
Pranawa Wulandari,IPA,SMAN 1 Ciparay,STATISTIK,7/12/2020,9/12/2020,Selesai,SMA,79,"Bahasa Inggris, Informatika, Biologi, Fisika, Kimia","PHP, Java",Cisco CCNA,Magang di Telkom,Himpunan Mahasiswa,Website Kampus
Rahmi Sihombing,RPL,SMAN 1 Ciparay,STATISTIK,7/20/2020,9/14/2020,Selesai,SMK,97,"Sistem Operasi, Jaringan Komputer, Desain UI/UX, PBO, Basis Data","AutoCAD, Excel",Cisco CCNA,-,OSIS,-
Kadir Waluyo,Ilmu Komunikasi,Universitas Langlangbuana,STATISTIK,7/12/2020,9/17/2020,Selesai,D3,"3,6","Komunikasi Massa, Jurnalistik, Fotografi, Manajemen Media, Sosiologi Komunikasi","Excel, UI/UX",-,Magang di Diskominfo,-,Video Animasi
Surya Santoso,RPL,SMAN 1 Majalaya,STATISTIK,7/5/2020,9/20/2020,Selesai,SMK,90,"Desain UI/UX, PBO, Pemrograman, Basis Data, Jaringan Komputer","Adobe, UI/UX",Microsoft Office Specialist,Magang di Bank BJB,Himpunan Mahasiswa,Aplikasi Mobile
Jamal Andriani,Sistem Informasi,Institut Teknologi Nasional Bandung,STATISTIK,8/14/2020,9/26/2020,Selesai,D3,"2,99","Jaringan, Basis Data, Rekayasa Perangkat Lunak, Pemrograman, Analisis Sistem","Excel, UI/UX",Adobe Certified,Magang di Diskominfo,-,-
Gabriella Kusumo,IPA,SMKN 1 Katapang,STATISTIK,7/11/2020,9/14/2020,Selesai,SMA,82,"Informatika, Kimia, Biologi, Matematika, Fisika","Excel, UI/UX",Cisco CCNA,Magang di Diskominfo,-,Video Animasi
Laila Oktaviani,Psikologi,Universitas Komputer Indonesia,STATISTIK,7/12/2020,9/12/2020,Selesai,D3,"3,19","Teori Kepribadian, Metodologi Psikologi, Psikologi Sosial, Psikologi Pendidikan, Konseling","AutoCAD, Excel",-,-,BEM,Video Animasi
Pangeran Sihombing,RPL,SMKN 1 Katapang,STATISTIK,7/20/2020,9/14/2020,Selesai,SMK,89,"Jaringan Komputer, Pemrograman, Basis Data, Sistem Operasi, Desain UI/UX","Python, SQL",Adobe Certified,Magang di Bank BJB,Himpunan Mahasiswa,Aplikasi Mobile
Sari Pranowo,Sistem Informasi,Institut Teknologi Nasional Bandung,STATISTIK,7/5/2020,9/20/2020,Selesai,D3,"3,8","Jaringan, Manajemen Proyek, Analisis Sistem, Pemrograman, Rekayasa Perangkat Lunak","Python, SQL",Microsoft Office Specialist,Magang di Bank BJB,Himpunan Mahasiswa,Penelitian Sosial
Uli Putra,IPS,SMAN 1 Ciparay,TIK,10/5/2020,12/20/2020,Selesai,SMA,85,"Ekonomi, Sejarah, Sosiologi, Bahasa Indonesia, PPKn","PHP, Java",-,Magang di Bank BJB,BEM,-
Lalita Kusmawati,IPS,SMKN 2 Baleendah,TIK,10/26/2020,12/26/2020,Selesai,SMA,89,"Sosiologi, Sejarah, PPKn, Bahasa Indonesia, Geografi","AutoCAD, Excel",Microsoft Office Specialist,Magang di Bank BJB,OSIS,Website Kampus
Mujur Safitri,IPA,SMKN 1 Katapang,TIK,10/14/2020,12/26/2020,Selesai,SMA,75,"Biologi, Fisika, Kimia, Matematika, Informatika","Adobe, UI/UX",Adobe Certified,Magang di Diskominfo,BEM,Website Kampus
Aswani Lestari,IPA,SMAN 1 Majalaya,TIK,11/11/2020,12/14/2020,Selesai,SMA,76,"Matematika, Informatika, Biologi, Fisika, Bahasa Inggris","Python, SQL",Microsoft Office Specialist,Magang di Telkom,OSIS,Website Kampus
Gantar Halim,Teknik Sipil,Universitas Langlangbuana,TIK,11/12/2020,12/12/2020,Selesai,D3,"2,85","Mekanika Tanah, Statika, Hidrologi, Struktur Beton, Gambar Teknik","AutoCAD, Excel",Cisco CCNA,Magang di Telkom,OSIS,Video Animasi
Puti Almira Wahyudin,Psikologi,Politeknik Piksi Ganesha Bandung,TIK,10/20/2020,10/14/2020,Selesai,D3,"3,1","Psikologi Pendidikan, Teori Kepribadian, Konseling, Psikologi Sosial, Metodologi Psikologi","PHP, Java",-,-,Himpunan Mahasiswa,Video Animasi
Elisa Wibowo,Psikologi,Universitas Komputer Indonesia,TIK,11/12/2020,12/17/2020,Selesai,D3,"3,81","Teori Kepribadian, Psikologi Sosial, Konseling, Psikologi Klinis, Metodologi Psikologi","PHP, Java",-,Magang di Diskominfo,BEM,Aplikasi Mobile
Jaeman Wulandari,Psikologi,Universitas Komputer Indonesia,TIK,10/5/2020,12/20/2020,Selesai,D3,"3,4","Metodologi Psikologi, Psikologi Sosial, Psikologi Klinis, Konseling, Psikologi Pendidikan","PHP, Java",Cisco CCNA,Magang di Bank BJB,BEM,Aplikasi Mobile
Julia Latupono,IPA,SMAN 1 Majalaya,TIK,10/14/2020,11/26/2020,Selesai,SMA,93,"Fisika, Informatika, Matematika, Bahasa Inggris, Kimia","Python, SQL",Cisco CCNA,Magang di Bank BJB,BEM,Penelitian Sosial
Warsa Pradana,IPS,SMAN 1 Majalaya,TIK,10/11/2020,12/14/2020,Selesai,SMA,86,"Sosiologi, Bahasa Indonesia, Geografi, Ekonomi, PPKn","AutoCAD, Excel",Microsoft Office Specialist,-,BEM,Website Kampus
Hesti Habibi,Ilmu Komunikasi,Politeknik Piksi Ganesha Bandung,IKP,10/12/2020,11/12/2020,Selesai,D3,"2,86","Komunikasi Massa, Public Speaking, Fotografi, Jurnalistik, Sosiologi Komunikasi","Excel, UI/UX",-,Magang di Bank BJB,-,-
Kamidin Wijayanti,IPS,SMAN 1 Majalaya,IKP,10/5/2020,12/20/2020,Selesai,SMA,98,"Sosiologi, Geografi, Sejarah, Ekonomi, PPKn","Excel, UI/UX",-,Magang di Bank BJB,OSIS,-
Ilsa Wijayanti,Sistem Informasi,Universitas Langlangbuana,IKP,10/26/2020,12/26/2020,Selesai,D3,"2,82","Rekayasa Perangkat Lunak, Jaringan, Pemrograman, Manajemen Proyek, Basis Data","Excel, UI/UX",Microsoft Office Specialist,Magang di Bank BJB,BEM,Website Kampus
Gasti Wibowo,Teknik Informatika,Universitas Bale Bandung,IKP,10/14/2020,12/26/2020,Selesai,D3,"3,39","Pemrograman Web, Struktur Data, Jaringan Komputer, Kecerdasan Buatan, Algoritma","PHP, Java",Microsoft Office Specialist,Magang di Telkom,-,Aplikasi Mobile
Jamalia Widiastuti,Multimedia,SMKN 2 Baleendah,IKP,11/11/2020,12/14/2020,Selesai,SMK,87,"UI/UX, Animasi, Fotografi, Desain Grafis, Desain 3D","Python, SQL",Microsoft Office Specialist,Magang di Bank BJB,OSIS,Website Kampus
